recipe_id,ingredient_name,amount,unit,is_alcohol,abv_percent
vodka_red_onion,Ingredients not yet documented in this system,,,no,
vodka_rose,Ingredients not yet documented in this system,,,no,
vodka_rosemary_basil,Ingredients not yet documented in this system,,,no,
vodka_st_johns_wort,Ingredients not yet documented in this system,,,no,
vodka_salted_caramel,Ingredients not yet documented in this system,,,no,
vodka_scotch_bonnet_pepper,scotch bonnet pepper flavored vodka,,,no,
vodka_shrimp,Ingredients not yet documented in this system,,,no,
vodka_skittles_green,Ingredients not yet documented in this system,,,no,
vodka_skittles_orange,Ingredients not yet documented in this system,,,no,
vodka_skittles_pink,Ingredients not yet documented in this system,,,no,
vodka_skittles_red,Ingredients not yet documented in this system,,,no,
vodka_skittles_yellow,Ingredients not yet documented in this system,,,no,
vodka_strawberry_amoretti_flavoring,vodka with natural flavor,,,no,
vodka_strawberry_natural,Strawberries,1,cups,no,
vodka_strawberry_natural,Vodka,1,cups,yes,40
vodka_strawberry_rhubarb,Rhubarb,1,cups,no,
vodka_strawberry_rhubarb,Strawberries,1.5,cups,no,
vodka_strawberry_rhubarb,Vodka,1500,mL,yes,40
vodka_strawberry_rhubarb,Sugar (liqueur variant),1,cups,no,
vodka_sweet_tea,Vodka (93%),1.72,gal,yes,93
vodka_sweet_tea,Water,2.28,gal,no,
vodka_sweet_tea,Simple Sugar,5.25,cups,no,
vodka_sweet_tea,Loose Tea,1,lb,no,
vodka_szechwan_pepper,Ingredients not yet documented in this system,,,no,
vodka_trinidad_scorpion_pepper,Scotch Bonnet Pepper Flavored Vodka,,,no,
vodka_vanilla_bean,Vodka,750,mL,yes,40
vodka_vanilla_bean,Vanilla Extract,4,mL,no,
vodka_vanilla_bean,Fresh Vanilla,2,mL,no,
vodka_vanilla_bean,Simple Syrup,1,tbsp,no,
vodka_watermelon,Ingredients not yet documented in this system,,,no,
vodka_watermelon_mint,Ingredients not yet documented in this system,,,no,
vodka_yellow_scorpion_pepper,Ingredients not yet documented in this system,,,no,
vodka_three_berry,Ingredients not yet documented in this system,,,no,
vodka_nectarine,Ingredients not yet documented in this system,,,no,
vodka_apple,Ingredients not yet documented in this system,,,no,
vodka_blood_orange,Vodka,750,mL,yes,40
vodka_blood_orange,Blood Orange Extract,2,mL,no,
vodka_rhubarb,Ingredients not yet documented in this system,,,no,
vodka_persimmon,Ingredients not yet documented in this system,,,no,
vodka_caribbean_red,Ingredients not yet documented in this system,,,no,
vodka_ghost_pepper,Ingredients not yet documented in this system,,,no,
vodka_thai_chili,Ingredients not yet documented in this system,,,no,
vodka_serrano_pepper,Ingredients not yet documented in this system,,,no,
vodka_cranberry_jalapeno,Ingredients not yet documented in this system,,,no,
whiskey_b_17_bourbon,Ingredients not yet documented in this system,,,no,
whiskey_citywide,Ingredients not yet documented in this system,,,no,
whiskey_corn,Ingredients not yet documented in this system,,,no,
whiskey_malt,Ingredients not yet documented in this system,,,no,
whiskey_moonshine,Ingredients not yet documented in this system,,,no,
whiskey_mustang_moonshine,Ingredients not yet documented in this system,,,no,
whiskey_straight_bourbon,Ingredients not yet documented in this system,,,no,
whiskey_honey_whiskey,Ingredients not yet documented in this system,,,no,
whiskey_maple_whiskey,Ingredients not yet documented in this system,,,no,
whiskey_cinnamon_whiskey,Ingredients not yet documented in this system,,,no,
whiskey_apple_pie_whiskey,Ingredients not yet documented in this system,,,no,
whiskey_habanero_bourbon,Ingredients not yet documented in this system,,,no,
whiskey_brown_sugar_bourbon,Ingredients not yet documented in this system,,,no,
whiskey,Ingredients not yet documented in this system,,,no,
john_daly_scaled,Sweet Tea,48,cups,no,
john_daly_scaled,Lemonade,36,cups,no,
john_daly_scaled,GNS,1129.17,mL,yes,93
swifty_swig,Vodka,10,cups,yes,40
swifty_swig,Simple Syrup,3.33,cups,no,
swifty_swig,Strawberry,0.5,cups,no,
swifty_swig,Lemon Juice,2.25,cups,no,
swifty_swig,Water,63.67,cups,no,
swifty_swig,Salt,0.25,cups,no,
spiced_pear_gin,Gin,1,gal,yes,40
spiced_pear_gin,Pears,53,each,no,
spiced_pear_gin,Ginger,4.9,oz,no,
spiced_pear_gin,Cinnamon Sticks,15,each,no,
spiced_pear_gin,Cloves,0.25,cups,no,
ginger_syrup,Water,2,cups,no,
ginger_syrup,Sugar,2,cups,no,
ginger_syrup,Sliced Ginger,110,g,no,
almond_extract,Almonds,12,oz,no,
almond_extract,"GNS (93%, to top off jar)",500,mL,yes,93
vanilla_extract,Vanilla Beans,7,each,no,
vanilla_extract,"GNS (93%, to top off jar)",500,mL,yes,93
smoked_maple_syrup,Dark Maple Syrup,1,parts,no,
smoked_maple_syrup,Water,1,parts,no,
smoked_maple_syrup,Liquid Smoke,15,drops,no,
maple_whiskey_syrup,Whiskey,1000,mL,yes,40
maple_whiskey_syrup,Rich Amber Maple Syrup,250,mL,no,
maple_whiskey_syrup,Water,250,mL,no,
pine_tip_syrup,Pine Tips (heaping),0.25,cups,no,
pine_tip_syrup,Water,1,cups,no,
pine_tip_syrup,Sugar,1,cups,no,
strawberry_shrub,Strawberry Syrup,1,cups,no,
strawberry_shrub,25-Year Balsamic Vinegar,3,tbsp,no,
peach_simple_syrup,Water,1,cups,no,
peach_simple_syrup,Sugar,1,cups,no,
peach_simple_syrup,Chopped Peaches,1,cups,no,
cardamom_honey_syrup,"Cardamom Pods, crushed",4,each,no,
cardamom_honey_syrup,Honey Syrup,187.5,mL,no,
cinnamon_syrup,Water,1,cups,no,
cinnamon_syrup,Sugar,1,cups,no,
cinnamon_syrup,Cinnamon Sticks,4,each,no,
orange_spice_syrup,Sugar,1,cups,no,
orange_spice_syrup,Water,1,cups,no,
orange_spice_syrup,Orange Spice Tea Bags,4,each,no,
old_fashioned_mix,Butterfly Pea Flower Tea + Gin,1500,mL,yes,40
old_fashioned_mix,Lavender Syrup,1,cups,no,
old_fashioned_mix,Lemon Bitters,100,mL,no,
green_mix,Green Tomatoes,2.5,lb,no,
green_mix,Celery Stalks,2,each,no,
green_mix,Cilantro,1,bunch,no,
green_mix,Water,3,cups,no,
green_mix,"Seasoning (cumin, Worcestershire, celery salt, pepper, hot sauce, lemon juice)",1,to taste,no,
vodka_cake_flavoring,Vodka,750,mL,yes,40
vodka_cake_flavoring,Cake Extract,5,mL,no,
vodka_peanut_butter_cup_flavoring,Vodka,750,mL,yes,40
vodka_peanut_butter_cup_flavoring,PB Cup Extract,5,mL,no,
liqueur_coconut_cream,Dry Whole Milk,160,g,no,
liqueur_coconut_cream,Sugar,195,g,no,
liqueur_coconut_cream,No-Fat Dry Milk,14,g,no,
liqueur_coconut_cream,Sodium Caseinate,30,g,no,
liqueur_coconut_cream,Tri-Sodium Citrate,20,g,no,
liqueur_coconut_cream,Hydration Water,600,mL,no,
liqueur_coconut_cream,40% Alcohol,600,mL,yes,40
liqueur_coconut_cream,Coconut Extract,6,mL,no,
liqueur_banana_cream,Dry Whole Milk,160,g,no,
liqueur_banana_cream,Sugar,195,g,no,
liqueur_banana_cream,No-Fat Dry Milk,14,g,no,
liqueur_banana_cream,Sodium Caseinate,30,g,no,
liqueur_banana_cream,Tri-Sodium Citrate,20,g,no,
liqueur_banana_cream,Hydration Water,600,mL,no,
liqueur_banana_cream,40% Alcohol,600,mL,yes,40
liqueur_banana_cream,Banana Extract,6,mL,no,
liqueur_pineapple_cream,Dry Whole Milk,160,g,no,
liqueur_pineapple_cream,Sugar,195,g,no,
liqueur_pineapple_cream,No-Fat Dry Milk,14,g,no,
liqueur_pineapple_cream,Sodium Caseinate,30,g,no,
liqueur_pineapple_cream,Tri-Sodium Citrate,20,g,no,
liqueur_pineapple_cream,Hydration Water,600,mL,no,
liqueur_pineapple_cream,40% Alcohol,600,mL,yes,40
